問題,可能原因,簡易故障排除,所屬類別
"附近有可以外幣換台幣的地方
嗎   請問車站附近是否有可兌換外幣的機構  我想換台幣，不知道這附近有沒有可以換匯的地點  如果要換台幣，車站附近有提供這項服務嗎  請問一下車站週遭有無可以換匯外幣的商家或銀行  我手上有些外幣想換成台幣，不知道附近有沒有相關換匯處","附近有可以外幣換台幣的地方
嗎","新光三越百貨股份有限公司台北南西分公司一館9樓貴賓中心或三館4樓外幣服務中心；可從出口一、出口二、出
口三或出口四出站",中山站旅客問答集
為什麼不能進站或出站   為什麼不能進站或出站  請說明一下無法進出站的原因為何  如果無法進出車站，可能會有哪些原因  不能出入車站，這可能是由於什麼原因所造成  請問是什麼情況造成我目前無法進出這個車站  我怎麼會不能進出站,為什麼不能進站或出站,請洽詢問處確認票卡使用情形,中山站旅客問答集
為什麼敬老卡的點數不能使用   請說明一下敬老卡點數無法使用的原因  敬老卡的點數出現無法使用的情形，可能是什麼原因  請問敬老卡點數無法使用的可能原因有哪些  敬老卡點數沒有了嗎  幫我看一下點數,為什麼敬老卡的點數不能使用,請洽詢問處確認票卡使用情形,中山站旅客問答集
要怎麼到對面5號或6號出口   請告知如何走到對面的5號或6號出口  我想走到對面的出口5號或6號，該怎麼走  要前往對面的5號出口或6號出口應該怎樣走  我要到對面  對面出口怎麼走,要怎麼到對面5號或6號出口,請洽詢問處索取臨時通行票，刷通行票進出站，再往出口走,中山站旅客問答集
R79及地下街店鋪營業時間   請告知地下街商店的營業時間  地下街區內的店家們一般營業的時間是什麼時候  店鋪營業時間為何  請問地下街的商店開門了  地下街的店鋪何時開,R79及地下街店鋪營業時間,地下街店鋪於早上10點鐘陸續開門營業,中山站旅客問答集
"一日票跟24小時票差在哪裡   請解釋一日票和24小時票的差異	這兩種車票一日票和24小時票有什麼不同之處嗎  想了解一下一日票與24小時票在使用上的差別   一日票和24小時票哪一種好  我應該買一日票還是24小時票",一日票跟24小時票差在哪裡,"一日票：旅客可自由選擇啟用日期，票卡限啟用當日有效，經【車站驗票閘門自動感應啟用後至當天營運結束】為止，可不限次數、里程重複搭乘臺北捷運，每次搭乘限一人使用
24小時票：
旅客可自由選擇啟用日期，經車站驗票閘門自動感應啟用後，【連續24小時內】可不限次數、里程重複搭乘臺北
捷運，每次搭乘限一人使用",中山站旅客問答集
常客優惠怎麼算   請解釋一下常客優惠的計算方式  適用常客優惠時，優惠的計算規則是如何  請問常客優惠的優惠金額算法  我想知道常客優惠的計算公式  常客優惠好嗎,常客優惠怎麼算,"常客優惠：依每卡每月累計搭乘次數，決定現金回饋比例，並依累計搭乘金額，計算回饋金。當月回饋金＝前月累計搭乘金額×現金回饋比例（尾數不滿1元者，按四捨五入計算）
舉例：上月搭乘11～20次，可回饋10%
詳細說明請參閱網頁https://www.metro.taipei/cp.aspx?n=AB56163F79ECB2C2",中山站旅客問答集
敬老愛心點數怎麼看   請告知我如何查看敬老愛心卡的點數餘額  敬老愛心卡的點數可以從哪裡查詢到  我要查敬老愛心卡點數  我想知道自己敬老愛心卡的點數有多少，怎麼查詢  我還有多少點,敬老愛心點數怎麼看,請洽詢問處確認票卡使用情形或使用票卡查詢機,中山站旅客問答集
"R79及地下街怎麼走   請告知如何走路前往R79和地下街區域  我想步行到R79書街和車站地下街區，該怎麼走  前往R79書街與地下街的入口在哪  我怎麼可以走到R79書街和地下街	  可以告知一下如何走路到R79書街和地下街嗎",R79及地下街怎麼走,往出口四方向直走地下街,中山站旅客問答集
聯名卡怎麼開卡   請問如何申請聯名卡  我有聯名卡，要如何開卡  這裡可以打開聯名卡嗎  要如何才能辦理聯名卡的開卡手  幫我開卡,聯名卡怎麼開卡,請依卡片上說明開卡,中山站旅客問答集
健康點數要加進去卡片   請問如何將健康點數儲值到卡片內  我需要將健康點數加值到卡片上，該怎麼做  健康點數要如何才能存入卡片使用  想將健康點數加值到卡片內，有什麼方式嗎  我要加健康點數,健康點數要加進去卡片,請將卡票置於悠遊卡加值機（AVM）按照指示設定,中山站旅客問答集
哪裡有垃圾桶   請告知車站內或附近可以丟棄垃圾的地點  垃圾桶在哪  我要丟垃圾，沒看到垃圾桶  請問一下車站有垃圾桶嗎  我想知道哪裡可以丟垃圾,哪裡有垃圾桶,垃圾桶位於詢問處左右兩邊的服務盒(會面點)下方,中山站旅客問答集
聯名卡自動加值如何開卡   請問如何申請開卡聯名卡並設定自動加值  我想要開卡聯名卡並啟動自動加值功能，要如何辦理  聯名卡的開卡程序為何  要如何申請聯名卡並啟用自動加值的功能  我要自動加值，幫我開卡,聯名卡自動加值如何開卡,請將卡票置於悠遊卡加值機（AVM）按照指示開啟自動加值,中山站旅客問答集
"娃娃推車要從哪邊進站   請告知攜帶嬰兒推車應該從哪邊進站  如果我需要帶嬰兒車進站，該從哪一個入口比較方便  推著嬰兒推車要怎麼進車站比較順利 	娃娃車進不去  請告知一下帶著嬰兒推車應該從哪個閘門進",娃娃推車要從哪邊進站,請由無障礙閘門進站,中山站旅客問答集
定期票的優惠範圍   ,定期票的優惠範圍,"定期票：售價新臺幣(以下同)1,200元，持卡人於都會通有效期間內，不限里程、不限次數搭乘基北北桃地區之公
共運輸運具
適用範圍如下：一、捷運與輕軌
二、市區公車：基隆市區公車路線、新北市區公車路線、臺北市聯營公車路線及桃園市區公車路線，詳細路線以基北北桃市政府之公告為準。
三、臺灣鐵路(以下簡稱臺鐵)：起訖站均位於縱貫線基隆站至桃園市新富站，宜蘭線八堵站至福隆站，以及支線深澳線及平溪線各車站間、不限車種
之列車。。但具專屬性及不發售無票座之對號列車(如觀光、團體、太魯閣、普悠瑪、EMU3000列車等)不適用。
四、公路及國道客運
五、YouBike：新北市及臺北市YouBike 站點，借車前30分鐘免費。桃園市
YouBike 站點，借車前60分鐘免費。YouBike2.0E電輔車型不適用。詳細說明請參閱網頁https://www-
ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDA1L3JlbGZpbGUvMTgyODgvMTA2MjY0LzExZWR hZTZhLTdkMGYtNDRhMS05ODliLTRlMzE0ZjkwNTY3Zi5wZGY%3d&n=5L2%2f55So6aCI55%2blMDkwNi5wZ
GY%3d&icon=..pdf",中山站旅客問答集
悠遊付如何使用   請問如何使用悠遊付的行動支付功能  想了解一下悠遊付的使用方式  悠遊付行動支付的操作流程是怎樣的  要如何使用悠遊付的行動支付服  悠遊付怎麼辦,悠遊付如何使用,需要先下載程式並註冊，註冊完成後，先新增銀行帳戶，再能進行付款、儲值與自動加值服務,中山站旅客問答集
定期票怎麼設定   請問如何設定或新增定期票的功能  我要買定期票  定期票的設定流程和方式為何  要如何操作才能啟用定期票的功能  怎麼設定定期票,定期票怎麼設定,請洽詢問處或自行使用自動售票機設定,中山站旅客問答集
哪裡有公共電話   請告知本站或附近有提供公共電話的位置  我沒帶手機，哪裡有公共電話  如果需要使用公共電話該往哪個方向走  車站附近公共電話在哪  請問公共電話設置的位置在哪裡,哪裡有公共電話,往出口一方向可以看到公共電話,中山站旅客問答集
"飲水機在哪   飲水機在哪  請告知本站或附近有提供飲水機使用的位置  這個車站內部或附近有沒有設置飲水機  如果想喝水，哪裡有飲水機?	 我要裝水  我想知道可以在哪裡找到飲水機",飲水機在哪,往出口五方向可以看到飲水機,中山站旅客問答集
聯名卡如何設定自動加值   請問如何為聯名卡設定自動加值的功能  我想為聯名卡開啟自動加值，該怎麼設定  聯名卡的自動加值功能要如何啟用和設定  要如何操作才能為聯名卡加入自動加值的設定  為什麼卡片沒有自動加值,聯名卡如何設定自動加值,請將卡票置於悠遊卡加值機（AVM）按照指示開啟自動加值,中山站旅客問答集
卡片要記名要怎麼用   請問已記名的卡片要如何使用  我的卡片已辦理記名，使用時有何須注意的地方  辦理卡片記名服務後，在使用上有什麼需要特別注意的嗎  卡片記名後該如何正確使用  記名的卡片有不一樣嗎,卡片要記名要怎麼用,請至悠遊卡公司網頁申請,中山站旅客問答集
學生悠遊卡要怎麼展期   請問學生專用的悠遊卡要如何辦理期限展延  我的學生悠遊卡快要過期，應該怎麼延長有效期限  我要展期學生悠遊卡  我是學生，卡片要展期  請問學生悠遊卡要展期嗎,學生悠遊卡要怎麼展期,"接獲悠遊卡公司簡訊通知時，可至貼有悠遊哪標誌之便利商店、悠遊卡客服中心、捷運車站悠遊卡自動加值機
(GAVM)等指定地點；亦可洽詢問處協助，若不成功，可再嘗試至GAVE辦理，如皆作業失敗，則請電洽悠遊卡公
司24小時客服專線(02)412-8880",中山站旅客問答集
販賣店的營業時間   請告知車站內販賣店的營業時間  這個附近的販賣店一般營業的時間是什麼時候  販賣店的營業時間為何  請問販賣店開門了嗎  販賣店何時開,販賣店的營業時間,地下街店鋪於早上10點鐘陸續開門營業,中山站旅客問答集
可以領取好孕胸章嗎   我要領胸章  我懷孕了，有好孕胸章嗎  有懷孕識別的那個東西嗎  我想要胸章，讓別人知道  我懷孕了，可以領一個胸章嗎,可以領取好孕胸章嗎,本站可以領取好運胸章，請洽服務人員,中山站旅客問答集
可以領取好孕貼紙嗎   我要領貼紙  我懷孕了，有好孕貼紙嗎  有懷孕識別的那個東西嗎  我想要貼紙，讓別人知道  我懷孕了，可以領一個貼紙嗎,可以領取好孕貼紙嗎,本站可以領取好孕貼紙，請洽服務人員,中山站旅客問答集
可以領取博愛識別貼紙嗎   我要領博愛識別貼紙  我年紀大，有博愛識別貼紙嗎  有博愛識別的那個東西嗎  我想要博愛識別貼紙，讓別人知道我年紀大  我年紀很大，可以領一個博愛識別貼紙嗎,可以領取博愛識別貼紙嗎,本站可以領取博愛識別貼紙，請洽服務人員,中山站旅客問答集
可以領取好孕吊飾嗎?   我要領吊飾  我懷孕了，有好孕吊飾嗎  有懷孕識別的那個東西嗎  我想要吊飾，讓別人知道  我懷孕了，可以領一個吊飾嗎,可以領取好孕吊飾嗎?,"本站可以領取好孕吊飾，請洽服務人員。有關好孕吊飾的領取方式：在臺北捷運GO App或北捷網
站:https://ssl.metro.taipei/pregnancyservice登錄申請好孕吊飾，完成申請後，就可憑孕婦健康手冊及電子憑證到指定車站領取。不限孕婦本人至現場領取，歡迎委託家人朋友持電子憑證截圖畫面及孕婦健康手冊代領。如您不是到原登錄指定的地點領取(例：申請A站但卻至B站領取)，現場未必備有充裕庫存，可能會導致白跑一趟的情
形。如有造成不便之處，請諒察。。",中山站旅客問答集
如何買團體票   我們一起要進站 我們超過10人要一起買票  團體票怎麼買  團體買票  多少人算團體有優惠嗎,如何買團體票,請於搭車前直接至車站詢問處購買即可。,中山站旅客問答集
定期票能搭那些車   定期票的範圍  定期票可搭到基隆嗎  定期票可以搭到新竹嗎  定期票使用範圍  定期票適用於哪些交通工具,定期票能搭那些車,"定期票：售價新臺幣(以下同)1,200元，持卡人於都會通有效期間內，不限里程、不限次數搭乘基北北桃地區之公
共運輸運具
適用範圍如下：一、捷運與輕軌
二、市區公車：基隆市區公車路線、新北市區公車路線、臺北市聯營公車路線及桃園市區公車路線，詳細路線以基北北桃市政府之公告為準。
三、臺灣鐵路(以下簡稱臺鐵)：起訖站均位於縱貫線基隆站至桃園市新富站，宜蘭線八堵站至福隆站，以及支線深澳線及平溪線各車站間、不限車種
之列車。。但具專屬性及不發售無票座之對號列車(如觀光、團體、太魯閣、普悠瑪、EMU3000列車等)不適用。
四、公路及國道客運
五、YouBike：新北市及臺北市YouBike 站點，借車前30分鐘免費。桃園市
YouBike 站點，借車前60分鐘免費。YouBike2.0E電輔車型不適用。詳細說明請參閱網頁https://www-
ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDA1L3JlbGZpbGUvMTgyODgvMTA2MjY0LzExZWR hZTZhLTdkMGYtNDRhMS05ODliLTRlMzE0ZjkwNTY3Zi5wZGY%3d&n=5L2%2f55So6aCI55%2blMDkwNi5wZ
GY%3d&icon=..pdf",中山站旅客問答集
心中山線形公園在哪個出口   心中山線形公園位於哪個出口  去心中山線形公園應該走哪個出口  去心中山怎麼走  出口公園在哪  心中山線形公園的入口位於哪個出口,心中山線形公園在哪個出口,出口四,中山站旅客問答集
"攤車在哪   哪裡有攤車  我該去哪找攤車  在哪裡可以找到攤車	  攤車位於哪個位置  攤車停在哪裡",攤車在哪,位置在R8出口附近，請由出口四方向往地下街直走,中山站旅客問答集
"攤車營業時間是幾點   攤車何時開始營業	攤車營業時間是多久	攤車營業到幾點	你知道攤車營業的時間嗎	攤車何時關門",攤車營業時間是幾點,營業時間為每日12:30至19:30,中山站旅客問答集
"捷運商品在哪裡販售   捷運商品可以在哪裡購買	捷運站裡哪裡有賣商品  我可以在哪裡找到捷運商品  捷運站內有哪些地方可以買到商品  你知道在捷運站裡哪裡可以買到捷運的東西嗎",捷運商品在哪裡販售,位置在R8出口附近，請由出口四方向往地下街直走,中山站旅客問答集
捷運商品販售時間是幾點   捷運商品販售何時開始  捷運商品可以在什麼時間購買  捷運商品販售到幾點  你知道捷運商品的販售時間嗎  捷運商品什麼時候停止販售,捷運商品販售時間是幾點,營業時間為每日12:30至19:30,中山站旅客問答集
心中山廣場在哪個出口   心中山廣場位於哪個出口  去心中山廣場應該走哪個出口  心中山廣場的入口位於哪個出口  心中山廣場怎麼走  我要到心中山,心中山廣場在哪個出口,出口四,中山站旅客問答集
"中山站廣場在哪個出口   我要去中山站廣場	車站出口廣場怎麼走  去中山站廣場應該怎麼走	去中山站廣場應該走哪個出口  中山站附近有個廣場，怎麼走",中山站廣場在哪個出口,出口四,中山站旅客問答集
大倉久和大飯店在哪   我要去大倉久和大飯店  這附近有大倉久和大飯店嗎  大倉久和大飯店怎麼走  大倉久和大飯店從哪個出口走比較近  怎麼到大倉久和大飯店,大倉久和大飯店在哪,出口三往前走過馬路的左手邊可以看到,中山站旅客問答集
常客優惠好還是定期票好   常客優惠和定期票哪個更划算  常客優惠和定期票哪個更便宜  常客優惠和定期票相比，哪個更省錢  常客優惠和定期票哪個更適合頻繁乘坐捷運的人  你覺得常客優惠和定期票哪個更值得購買,常客優惠好還是定期票好,依各人使用時間及次數與距離有關，可參考常客優惠計算方式及定期票優惠範圍,中山站旅客問答集
可以借電話卡嗎   可以借用電話卡嗎  我手機沒電了，能否向你借用一下電話卡  我忘了帶手機，有電話卡可以借嗎  我要借電話卡  我沒帶錢，要借電話卡,可以借電話卡嗎,請洽詢問處,中山站旅客問答集
出口一何時開通   出口一要封到何時  出口一 何時可以走  出口一 為何不能走  出口一怎麼走  出口一往哪走,出口一何時開通,預計今年12月底完工可以開放,中山站旅客問答集
首末班車時間   請告知本線路的首班車和末班車開車時間  想詢問一下這條線路的第一班和最後一班車時刻表  本站首班車和末班車分別是在什麼時間  請告知一下首班車和末班車的開車時間  最早跟最晚的車是幾點,首末班車時間,您好！關於台北捷運中山站的首末班車時間，請您參考以下網頁以獲得最準確的資訊：https://web.metro.taipei/img/ALL/TTPDF/053.pdf,中山站旅客問答集
老爺酒店怎麼走   去老爺酒店怎麼走  我該怎麼找到老爺酒店  請告訴我前往老爺酒店的路線  老爺飯店在哪  請問怎麼去老爺酒店,老爺酒店怎麼走,出口三直走，老爺酒店位於中山北路二段上,中山站旅客問答集
中山運動中心怎麼走   去中山運動中心怎麼走  我該怎麼找到中山運動中心  請告訴我前往中山運動中心的路線  中山運動中心在哪  請問怎麼去中山運動中心,中山運動中心怎麼走,R9出口再往右走就可以到,中山站旅客問答集
蔡瑞月舞蹈社怎麼走   去蔡瑞月舞蹈社怎麼走  我該怎麼找到蔡瑞月舞蹈社  請告訴我前往蔡瑞月舞蹈社的路線  蔡瑞月舞蹈社在哪  請問怎麼去蔡瑞月舞蹈社,蔡瑞月舞蹈社怎麼走,R9出口再往右走就可以到,中山站旅客問答集
馬偕醫院怎麼走   去馬偕醫院怎麼走  我該怎麼找到馬偕醫院  請告訴我前往馬偕醫院的路線  馬偕醫院在哪  請問怎麼去馬偕醫院,馬偕醫院怎麼走,坐車到雙連站走出口2或走地下街到雙連站走出口2,中山站旅客問答集
計程車招呼站   我在哪裡可以找到計程車招呼站  請告訴我附近的計程車招呼站在哪裡  我需要前往計程車招呼站，你知道在哪裡嗎  能告訴我一下計程車招呼站的位置嗎  我要搭計程車，怎麼走,計程車招呼站,出口2計程車招呼站往南京東路方向、出口3計程車招呼站往南京西路承德路方向,中山站旅客問答集
公車站牌   哪裡有公車站牌  有搭公車的地方嗎  公車站牌怎麼走  我要坐公車，怎麼走  坐公車從哪裡出站,公車站牌,出口2往中山北路及出口5、6均有公車站牌,中山站旅客問答集
市立聯合醫院中興院區怎麼走   去市立聯合醫院中興院區怎麼走  我該怎麼找到市立聯合醫院中興院區  請告訴我前往市立聯合醫院中興院區的路線  中興醫院在哪  請問怎麼去中興醫院,市立聯合醫院中興院區怎麼走,請坐車到北門站走3出口走路至醫院或到臺北車站北三門搭接駁車,中山站旅客問答集
西寧市場   去西寧市場怎麼走  我該怎麼找到西寧市場  請告訴我前往西寧市場的路線  西寧市場在哪  請問怎麼去西寧市場,西寧市場,請由北門站出站,中山站旅客問答集
永樂市場   去永樂市場怎麼走  我該怎麼找到永樂市場  請告訴我前往永樂市場的路線  永樂市場在哪  請問怎麼去永樂市場,永樂市場,請由北門站出站,中山站旅客問答集
四平陽光商圈   去四平陽光商圈怎麼走  我該怎麼找到四平陽光商圈  請告訴我前往四平陽光商圈的路線  四平陽光商圈在哪  請問怎麼去四平陽光商圈,四平陽光商圈,請由松江南京站出站,中山站旅客問答集
建國市場   去建國市場怎麼走  我該怎麼找到建國市場  請告訴我前往建國市場的路線  建國市場在哪  請問怎麼去建國市場,建國市場,請由松江南京站出站,中山站旅客問答集
台北市文昌宮   去台北市文昌宮怎麼走  我該怎麼找到台北市文昌宮  請告訴我前往台北市文昌宮的路線  台北市文昌宮在哪  請問怎麼去台北市文昌宮,台北市文昌宮,請由雙連站出站,中山站旅客問答集
台北霞海城隍廟   去台北霞海城隍廟怎麼走  我該怎麼找到台北霞海城隍廟  請告訴我前往台北霞海城隍廟的路線  台北霞海城隍廟在哪  請問怎麼去台北霞海城隍廟,台北霞海城隍廟,請由北門站出站,中山站旅客問答集
"大稻埕   去大稻埕怎麼走	我該怎麼找到大稻埕  請告訴我前往大稻埕的路線  大稻埕在哪  請問怎麼去大稻埕",大稻埕,請由北門站出站,中山站旅客問答集
"健保署   去健保署怎麼走	我該怎麼找到健保署  請告訴我前往健保署的路線  健保署在哪  請問怎麼去健保署",健保署,請由台北車站出站,中山站旅客問答集
捷運行政大樓   捷運總公司怎麼走  我該怎麼找到捷運行政大樓  請告訴我前往捷運行政大樓的路線  捷運公司在哪  請問怎麼去捷運行政大樓,捷運行政大樓,請往出口4方向直走地下街即可到達,中山站旅客問答集
"光點(台北電影館)   去光點(台北電影館)怎麼走  我該怎麼找到光點(台北電影館)  請告訴我前往光點(台北電影館)的路  光點(台北電影館)在哪	請問怎麼去光點(台北電影館)",光點(台北電影館),請往出口3出站,中山站旅客問答集
"赤峰街   去赤峰街怎麼走	我該怎麼找到赤峰街  請告訴我前往赤峰街的路線  赤峰街在哪  請問怎麼去赤峰街",赤峰街,請往出口5出站,中山站旅客問答集
中山市場   去中山市市場怎麼走  我該怎麼找到中山市市場  請告訴我前往中山市市場的路線  中山市市場在哪  請問怎麼去中山市市場,中山市場,請從出口1方向地下街R3出口出站,中山站旅客問答集
如何申請內湖設備房門禁？,文湖線行控電腦機房含內湖行控中心人員管制需授權,新進/異動人員由申請單位依QM數WI40025設備室門禁管制工作說明書辦理，填寫『數位發展處行政電腦機房及文湖線行控機房門禁通行申請單』,系統維運中心行控一組
文湖線行控電腦系統工作站無桌面、滑鼠右鍵沒反應，怎麼辦？,虛擬機器(VM}桌面異常,因文湖線行控電腦經重置案後，採用虛擬機器（VM）運行，故需由實體工作站進入虛擬機器VM桌面開啟工作管理員->file->NEW TASK→輸入explorer.exe,系統維運中心行控一組
文湖線行控電腦系統工作站雙螢幕畫面一半不見，或解析度異常，怎麼辦？,工作站螢幕電源重啟或電力轉供後需重設虛擬機器VM設定,"因文湖線行控電腦經重置案後，採用虛擬機器（VM）運行，故需由實體工作站進入虛擬機器VM調整設定，在有畫面螢幕上方VM工具列點選View→Cycle Multiple Monitor，若出現螢幕處於拉伸模式無法將畫面擴展警訊，需點選VM→Settings…→標籤點選 “Display” ,再選擇左邊 “Display scaling”將sretch mode勾勾拿掉→點選OK確認後，再次點選View→Cycle Multiple Monitor，若仍無畫面但畫面已經由黑轉藍，請聯絡數位發展處內湖值班同仁重置圖控(分機16#8721)。",系統維運中心行控一組
文湖線行控電腦系統工作站圖控畫面遲滯/停滯，怎麼辦？,圖控異常,重置圖控，在APP MON此程式的GraphWORX1點右鍵->點選Stop Task->點選Teminate pocess；GraphWORX2點右鍵->點選Stop Task->點選Teminate pocess,系統維運中心行控一組
車班號誌電腦無法控制,"號誌電腦故障。
訊號異常。","確認電源插頭是否插好，並檢查插座是否有電→ 確認電腦本身的電源開關是否打開。
;報修EFMS系統派請廠商處理。
;電話撥打19-2214聯絡數發處處理。",系統維運中心行控二組
月台電視無到離站時間,訊號異常,"檢視大廳層PIDS是否正常顯示到離站時間;檢視台北捷運GO APP是否顯示到離站時間。
;報修EFMS系統派請廠商處理。
;電話撥打19-2214聯絡數發處處理。",系統維運中心行控二組
"月台電視/閘門看板
無跑馬燈或訊息錯誤","訊號異常
網路異常",電話撥打19-2214聯絡數發處處理。,系統維運中心行控二組
"車站TLOS
佔據異常/誤佔據/顯示異常","訊號異常
程式異常","與行控確認列車位置是否正確。
;電話撥打19-2214聯絡數發處處理。",系統維運中心行控二組
車站LOS電腦異常,訊號異常,"與行控確認該站訊號是否正常顯示。
;電話撥打19-2214聯絡數發處處理。",系統維運中心行控二組
電腦網路不通，怎麼辦？  電腦網路不通  我的網路不通  網路不通,"線材鬆脫  

異動未申請IPMAC   

資訊插座故障","設備有無異動。有。未申請IPMAC異動。請至http://scada.trtc.com.tw:5555/ IPMAC管理網站申請,多人網路不通的話報修efms工單子系統別選行政光纖網系統",系統維運中心網路組
電腦網路很慢，怎麼辦?  電腦網路很慢  網路很慢  我的網路很慢,"電腦或網點問題。
專線問題。
當下各單位連線狀況。",查看網路線在資訊插座及電腦兩端有無鬆脫;網路線外皮或接頭是否有損毀;報修EFMS系統派請廠商處理。,系統維運中心網路組
我的筆電無法使用無線網路，怎麼辦？,"筆電無線網路功能未開啟。
該筆電未申請使用無線網路。
無線AP故障。
USER所處區域未配置無線網路。
",查看筆電無線網路功能有無開啟；確認該筆電是否有申請使用無線網路；報修EFMS系統派請廠商處理。,系統維運中心網路組
我的公務手機無法使用無線網路，怎麼辦？,"手機無線網路功能未開啟。
手機申請的使用期限到期。
手機隨機化MAC未關閉。
無線AP故障。
USER所處區域未配置無線網路。",查看手機無線網路功能有無開啟Wifi；確認是否有申請使用無線網路；檢查手機隨機化MAC是否關閉；報修EFMS系統派請廠商處理;電話撥打8471聯絡數發處處理。,系統維運中心網路組
我的遠距辦公VPN無法使用，怎麼辦?,"AD帳號未申請開通VPN。
AD帳號申請的使用期限到期。
AD帳號、密碼輸入錯誤。
Google 一次性密碼輸入錯誤。",確認AD帳密是否輸入正確；檢查Google 一次性密碼是否輸入正確，需為VPN的一次性密碼，有可能錯誤輸入到Metrobox的一次性密碼。,系統維運中心網路組
我的Metrobox無法登入，怎麼辦？,未安裝及設定雙因子APP 2.誤刪google authenticator之APP,"1.請至至業務文件下載中心\資訊處\12. Metrobox雲端硬碟(DS File)使用說明     
2.至行政表單e化平台填寫AM-數-FM-42004AD暨網路硬碟需求申請單",系統維運中心設備組
我的自然人憑證出現憑證需展期,憑證到期,請開啟網頁至內政部證管理中心(https://moica.nat.gov.tw/renewcert.html)，左邊選單選憑證展期，並插入IC卡，填入身份證、生日、PIN碼進行展期作業,系統維運中心設備組
我的公文系統密碼無法登入,密碼忘記,請至行政表單e化平台填寫AM-數-FM-43033密碼修改申請單,系統維運中心設備組
我要安裝或移除軟體怎麼辦,人員或帳籍異動,請至行政表單e化平台填寫填單申請AM-數-FM-43028核准後由數位發展處派工處理,系統維運中心設備組
物品領用及異動該怎麼做,物品領用、異動,請至物品管理系統申辦(https://apmgt.trtc.com.tw/ar/),系統維運中心設備組
EFMS報修窗是誰  EFMS報修窗是誰負責,詢問表單問題,請電洽10-8104陳瑾叡辦理,應用中心行政應用組
公務手機送修回來後，無法使用傳輸軟體下載巡檢APP(行動檢修)，怎麼辦？,USB偵錯未開啟,開啟USB偵錯才能使用傳輸軟體上傳下載任務。,應用中心營運維修組
公務手機送修回來後，巡檢(行動檢修)管制點靠卡無效，怎麼辦？,反序讀取設定錯誤,"開啟巡檢APP，至設定""啟用卡片反序""切換後嘗試靠卡。",應用中心營運維修組
電腦無法登入怎麼辦?,密碼錯誤遭鎖定,等候三十分鐘後再嘗試，若忘記密碼請撥10-8471重置密碼。,應用中心營運維修組
巡檢(行動檢修)記錄上傳後為何看不到檢查結果?,未等候轉檔完畢,巡檢結果上傳後須等候轉檔約10分鐘，方可查詢紀錄。,應用中心營運維修組
為何再儀器管理系統不能登錄儀器資料?,權限問題,"如需開通儀器管理系統之資料維護權限，需先完成車輛處研發中心定期開設之儀器校正相關課程，並於""行政表單e化平台""填寫""系統申請使用暨申請變更表""申請儀器管理系統之權限，經業務單位(車輛處研發中心)核可後，即可開通權限。",應用中心營運維修組
要如何變更儀器系統中各儀器之保管單位/保管人資料,資料同步,"儀器管理系統中儀器之保管單位/保管人資料來源為""財產系統、物品系統、物料系統""，如需異動保管單位/保管人資料，請於上述資料來源之系統進行資料變更，儀器系統將於每日08:00與各資料來源系統進行資料同步。",應用中心營運維修組
"為何我已經把儀器改成""使用中""了，可是我再EFMS/行動巡檢還是選不到該儀器?",資料同步,由於EFMS/行動巡檢於每日06:00與儀器系統進行資料同步，如在資料同步後才進行儀器之使用狀態更新，該儀器資料將於隔日同步於EFMS/行動巡檢。,應用中心營運維修組
EFMS已有工單編號，為什麼在物料系統領料單上輸入工單編號不被接受?,不符合業務邏輯,第1次領料必須透過EFMS進行領料，同一工單第2次領料時，才能直接進入物料系統領料。,應用中心營運維修組
為甚麼我換了新單位之後不能審核新單位的ACS工單?,權限問題,"由於人員單位異動時，進場作業管制系統將自動移除原有權限，請同仁於""行政表單e化平台""填寫""系統申請使用暨申請變更表""申請ACS之權限，經業務單位核可後，即可開通權限。",應用中心營運維修組
如何修改ACS工單之現場負責人?,系統操作不熟悉,"可於ACS中""遠端管制作業\現場負責人""功能進行修正，但一般使用者僅可修改同一單位(同股)同仁所建之申請單，且申請單狀態需為「已核准未施作」方可進行修改。",應用中心營運維修組
ACS進場申請單已經被核准了，但是無法進場,系統操作不熟悉,"可能原因如下：
1.請確認進場日期、時間是否與申請單內容相符合。 
2.請確認進場人員是否為申請單之現場負責人。",應用中心營運維修組
工單結案後，物料系統可否領料?,不符合業務邏輯,原則上工單結案後不可領料(例外情形：L1工單或物料零用金採購，可先行領用後，再補開領料單，並於備註欄說明以備查核),應用中心營運維修組
在ACS填申請單時，填寫廠商公司名稱欄位時，在廠商公司名稱查詢畫面找不到資料,系統操作不熟悉,"可於ACS中""基本資料管理\廠商資料維護作業""功能新增廠商資料，完成後申請單畫面將可挑選該廠商資料。",應用中心營運維修組
"廠商已經上完訓練中心廠商安全訓練,但是ACS申請畫面找不到廠商資料",資料同步,請確認廠商之承商資料是否已登錄訓練系統，進場作業管制系統將每日於(06:30、13:30、18:30、21:30)與訓練系統進行資料同步。,應用中心營運維修組
物料系統領料時領料單之責任中心預設為所屬單位之責任中心，可否修改成其他責任中心?,業務邏輯,"規則如下：
1.同一工單開立之第1張領料單，可以修改責任中心。
2.同一工單開立之第2張以上領料單，為維持同一工單相同責任中心，不可以修改責任中心。",應用中心營運維修組
